Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC04,"17-ALPHA HYDROXYPROGESTERONE (17-
OHP)",1500,ELISA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),WED,NEXT DAY,,,,,,,,,,,,,,
APC05,25-HYDROXY VITAMIN D (D2+D3),1700,CLIA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC09,ABSOLUTE BASOPHILS COUNT,190,ELECTRICAL IMPEDANCE,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC10,ABSOLUTE EOSINOPHIL COUNT,190,ELECTRICAL IMPEDANCE,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC11,ABSOLUTE LYMPHOCYTE COUNT (ALC),190,ELECTRICAL IMPEDANCE,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP
EDTA VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC12,ABSOLUTE MONOCYTE COUNT,190,ELECTRICAL IMPEDANCE,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC13,ABSOLUTE NEUTROPHIL COUNT,190,ELECTRICAL IMPEDANCE,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC16,ACETONE/KETONE - SERUM,800,ECLIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC17,ACETYLCHOLINE RECEPTOR (ACHR) ANTIBODY,4000,ENZYME IMMUNOASSAY,SERUM,"2ML SERUM FROM 1 SST. AVOID GENERAL ANAESTHETIC OR MUSCLE RELAXANT DRUGS 24
HOURS PRIOR TO SAMPLING",YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"SAT, TUE, THURS",4 DAYS,,,,,,,,,,,,,,
APC18,ACID FAST BACILLI CULTURE (AFB BACTEC),1100,MGIT -  BACTEC,"ASCITIC FLUID, PERITONEAL FLUID, SPUTUM, URINE, PLEURAL FLUID, BAL, TISSUE IN NORMAL SALINE",2ML BODY FLUID/TISSUE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,43 DAYS,,,,,,,,,,,,,,
